,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
193,194,The family spent an enchanting twenty years in London.,The family spent,an enchanting twenty years,twenty enchanting years,enchanting twenty a years,twenty enchanting years,twenty a years,enchanting a years
194,195,The family spent an enchanting twenty hours in London.,The family spent,an enchanting twenty hours,twenty enchanting hours,enchanting twenty an hours,twenty enchanting hours,twenty an hours,enchanting an hours
195,196,The family spent a soothing three days in London.,The family spent,a soothing three days,three soothing days,soothing three a days,three soothing days,three a days,soothing a days
196,197,The family spent a soothing three weeks in London.,The family spent,a soothing three weeks,three soothing weeks,soothing three a weeks,three soothing weeks,three a weeks,soothing a weeks
197,198,The family spent a soothing three months in London.,The family spent,a soothing three months,three soothing months,soothing three a months,three soothing months,three a months,soothing a months
198,199,The family spent a soothing three years in London.,The family spent,a soothing three years,three soothing years,soothing three a years,three soothing years,three a years,soothing a years
199,200,The family spent a soothing three hours in London.,The family spent,a soothing three hours,three soothing hours,soothing three an hours,three soothing hours,three an hours,soothing an hours
200,201,The family spent a soothing five days in London.,The family spent,a soothing five days,five soothing days,soothing five a days,five soothing days,five a days,soothing a days
201,202,The family spent a soothing five weeks in London.,The family spent,a soothing five weeks,five soothing weeks,soothing five a weeks,five soothing weeks,five a weeks,soothing a weeks
202,203,The family spent a soothing five months in London.,The family spent,a soothing five months,five soothing months,soothing five a months,five soothing months,five a months,soothing a months
203,204,The family spent a soothing five years in London.,The family spent,a soothing five years,five soothing years,soothing five a years,five soothing years,five a years,soothing a years
204,205,The family spent a soothing five hours in London.,The family spent,a soothing five hours,five soothing hours,soothing five an hours,five soothing hours,five an hours,soothing an hours
205,206,The family spent a soothing twenty days in London.,The family spent,a soothing twenty days,twenty soothing days,soothing twenty a days,twenty soothing days,twenty a days,soothing a days
206,207,The family spent a soothing twenty weeks in London.,The family spent,a soothing twenty weeks,twenty soothing weeks,soothing twenty a weeks,twenty soothing weeks,twenty a weeks,soothing a weeks
207,208,The family spent a soothing twenty months in London.,The family spent,a soothing twenty months,twenty soothing months,soothing twenty a months,twenty soothing months,twenty a months,soothing a months
208,209,The family spent a soothing twenty years in London.,The family spent,a soothing twenty years,twenty soothing years,soothing twenty a years,twenty soothing years,twenty a years,soothing a years
209,210,The family spent a soothing twenty hours in London.,The family spent,a soothing twenty hours,twenty soothing hours,soothing twenty an hours,twenty soothing hours,twenty an hours,soothing an hours
210,211,The family spent a charming three days in London.,The family spent,a charming three days,three charming days,charming three a days,three charming days,three a days,charming a days
211,212,The family spent a charming three weeks in London.,The family spent,a charming three weeks,three charming weeks,charming three a weeks,three charming weeks,three a weeks,charming a weeks
212,213,The family spent a charming three months in London.,The family spent,a charming three months,three charming months,charming three a months,three charming months,three a months,charming a months
213,214,The family spent a charming three years in London.,The family spent,a charming three years,three charming years,charming three a years,three charming years,three a years,charming a years
214,215,The family spent a charming three hours in London.,The family spent,a charming three hours,three charming hours,charming three an hours,three charming hours,three an hours,charming an hours
215,216,The family spent a charming five days in London.,The family spent,a charming five days,five charming days,charming five a days,five charming days,five a days,charming a days
216,217,The family spent a charming five weeks in London.,The family spent,a charming five weeks,five charming weeks,charming five a weeks,five charming weeks,five a weeks,charming a weeks
217,218,The family spent a charming five months in London.,The family spent,a charming five months,five charming months,charming five a months,five charming months,five a months,charming a months
218,219,The family spent a charming five years in London.,The family spent,a charming five years,five charming years,charming five a years,five charming years,five a years,charming a years
219,220,The family spent a charming five hours in London.,The family spent,a charming five hours,five charming hours,charming five an hours,five charming hours,five an hours,charming an hours
