idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
201,The family spent a soothing five days in London.,The family spent,five soothing a days,five soothing days,soothing five a days,five soothing days,five a days,soothing a days
202,The family spent a soothing five weeks in London.,The family spent,five soothing a weeks,five soothing weeks,soothing five a weeks,five soothing weeks,five a weeks,soothing a weeks
203,The family spent a soothing five months in London.,The family spent,five soothing a months,five soothing months,soothing five a months,five soothing months,five a months,soothing a months
204,The family spent a soothing five years in London.,The family spent,five soothing a years,five soothing years,soothing five a years,five soothing years,five a years,soothing a years
205,The family spent a soothing five hours in London.,The family spent,five soothing an hours,five soothing hours,soothing five an hours,five soothing hours,five an hours,soothing an hours
206,The family spent a soothing twenty days in London.,The family spent,twenty soothing a days,twenty soothing days,soothing twenty a days,twenty soothing days,twenty a days,soothing a days
207,The family spent a soothing twenty weeks in London.,The family spent,twenty soothing a weeks,twenty soothing weeks,soothing twenty a weeks,twenty soothing weeks,twenty a weeks,soothing a weeks
208,The family spent a soothing twenty months in London.,The family spent,twenty soothing a months,twenty soothing months,soothing twenty a months,twenty soothing months,twenty a months,soothing a months
209,The family spent a soothing twenty years in London.,The family spent,twenty soothing a years,twenty soothing years,soothing twenty a years,twenty soothing years,twenty a years,soothing a years
210,The family spent a soothing twenty hours in London.,The family spent,twenty soothing an hours,twenty soothing hours,soothing twenty an hours,twenty soothing hours,twenty an hours,soothing an hours
211,The family spent a charming three days in London.,The family spent,three charming a days,three charming days,charming three a days,three charming days,three a days,charming a days
212,The family spent a charming three weeks in London.,The family spent,three charming a weeks,three charming weeks,charming three a weeks,three charming weeks,three a weeks,charming a weeks
213,The family spent a charming three months in London.,The family spent,three charming a months,three charming months,charming three a months,three charming months,three a months,charming a months
214,The family spent a charming three years in London.,The family spent,three charming a years,three charming years,charming three a years,three charming years,three a years,charming a years
215,The family spent a charming three hours in London.,The family spent,three charming an hours,three charming hours,charming three an hours,three charming hours,three an hours,charming an hours
216,The family spent a charming five days in London.,The family spent,five charming a days,five charming days,charming five a days,five charming days,five a days,charming a days
217,The family spent a charming five weeks in London.,The family spent,five charming a weeks,five charming weeks,charming five a weeks,five charming weeks,five a weeks,charming a weeks
218,The family spent a charming five months in London.,The family spent,five charming a months,five charming months,charming five a months,five charming months,five a months,charming a months
219,The family spent a charming five years in London.,The family spent,five charming a years,five charming years,charming five a years,five charming years,five a years,charming a years
220,The family spent a charming five hours in London.,The family spent,five charming an hours,five charming hours,charming five an hours,five charming hours,five an hours,charming an hours
221,The family spent a charming twenty days in London.,The family spent,twenty charming a days,twenty charming days,charming twenty a days,twenty charming days,twenty a days,charming a days
222,The family spent a charming twenty weeks in London.,The family spent,twenty charming a weeks,twenty charming weeks,charming twenty a weeks,twenty charming weeks,twenty a weeks,charming a weeks
223,The family spent a charming twenty months in London.,The family spent,twenty charming a months,twenty charming months,charming twenty a months,twenty charming months,twenty a months,charming a months
224,The family spent a charming twenty years in London.,The family spent,twenty charming a years,twenty charming years,charming twenty a years,twenty charming years,twenty a years,charming a years
