idx,construction,corrupted_construction,corrupted_sentence
252,a good twenty feet,a twenty feet,We see they 're a twenty feet away from what we 'd spotted and hoped to acquire : a small solar - powered generator that had slipped out of a packing crate .
253,a mere twelve stories,a twelve stories,The two of us move to the edge of the opening and look down into an alley which is a twelve stories beneath us .
254,an additional six years,an six years,"In an six years , the Peace Corps architectural program was terminated because there were sufficient locally - educated Tunisians coming out of the University to fill the country 's needs ."
255,a good ten minutes,a ten minutes,"He was there for a ten minutes and did n't see a soul . """
256,a beautiful day—80 degrees,a day—80 degrees,Besides it was a day—80 degrees and sunny .
257,a few hundred yards,a hundred yards,The town water tower was only a hundred yards away .
258,a further five miles,a five miles,"The turn - off to Cooktown was a mile away and there was a forestry track a five miles from that , just beyond the town of Mossman ."
259,a hard two years,a two years,"It 's been a two years . """
260,an extra two weeks,an two weeks,The play put on by Phinn 's acting troupe in Helsop had been such a success that Dagon was forced to part with a few gold coins from Helsop 's treasury to entice the acting troupe to stay on an two weeks .
261,a quick 6 degrees,a 6 degrees,I 'll do a 6 degrees of separation with conversions so you see the thought process .
262,a good hundred meters,a hundred meters,"We moved back for a hundred meters , then I broke her up a little bit faster , kicking my heels into her sides just to give her more enthusiasm , but having reached the bridge again , she suddenly stopped in her tracks ."
263,a whole 15 minutes,a 15 minutes,I 'd lain in bed and finally given up after a 15 minutes of trying to rest .
264,a good 50 miles,a 50 miles,"He could n't see her in town if she was stuck in traffic on the highway in Oregon , a 50 miles away from Eaton ."
265,a good 4 hours,a 4 hours,"Around the time Sherman was driving me to see Kitty , Jack had collapsed and taken in a 4 hours of sleep ."
266,a couple hundred bucks,a hundred bucks,"After all , an unwanted buck youngster was n't worth much more than ten dollars , but a good wolf pelt could go for upwards of a hundred bucks ...."
267,a mere five feet,a five feet,"I mean , my height was a five feet four inches ."
268,a good fifty pounds,a fifty pounds,It weighed a fifty pounds but it was manageable .
269,a good ten years,a ten years,"She 'd been a prisoner in Silo 1 , along with other humans who 'd broken The Laws , for a ten years before the Jailer Board decided she 'd reformed ."
270,a good three or four inches,a three or four inches,"Like I mentioned before , I was pretty tough , but Sophia was a three or four inches taller than me , and obviously a little psychotic ."
271,a further 493 cases,a 493 cases,"8 SNPs from these loci were genotyped in a 493 cases and 820 controls from the Western Cape , and a combined test for association done in a total of 1373 cases and 1759 controls ."
272,an additional 6 and 32 mutations,an 6 and 32 mutations,"98 % ( 61/62 ) of the mutations identified from WES of the 10 FFT samples were successfully recovered using the custom panel , with the identification of an 6 and 32 mutations in coding and non - coding regions , respectively ."
273,an additional 3 tumors,an 3 tumors,"Of 10 NSCLC tumors tested , 4 showed a robust increase in IFNg production ( > 2 - fold ) relative to isotype controls in both D and D + T treated conditions , with an 3 tumors showing smaller , but consistent 30 - 40 % increases in IFNg production ."
274,an additional 7 days,an 7 days,"Assay plates were then incubated continuously for an 7 days , after which the cells were fixed and stained to allow high - content , fluorescent imaging of nuclei ."
275,"a total 24,879 events","a 24,879 events","We detected one or more events consistent with a CTLP in 8,276 tumors ( 62.1 % ) for a 24,879 events ."
276,a safe fifty feet,a fifty feet,"Without breaking stride , I lift the nose and rise to a fifty feet ."
277,a good fifteen minutes,a fifteen minutes,"The next morning , I spend a fifteen minutes staring at my dream journal , contemplating last night , unsure if I should record the events ."
278,a measly 10 metres,a 10 metres,"To rise a 10 metres above the apartments and rest safe in a Buddha pose with an overview of the interconnecting streets , the rivers branching off this way and that ."
279,a few million years,a million years,I suppose it will be a million years before we know that but you ; you will be remembered as the first of us all .
280,a few hundred citizens,a hundred citizens,My entire force has volunteered along with a hundred citizens .
281,a few hundred yards,a hundred yards,"The vehicle stopped at the curb a hundred yards away from Etna Toys Plant and Warehouse , then the four doors of the vehicle opened , and five men in brown suits exited the car ."
282,a full ten minutes,a ten minutes,"It took a ten minutes to extricate themselves from that and then JJ was all brisk and businesslike as she showed them to their room , prattling on about poor occupancy rates and giving them the large family room at the back ."
283,a _ long _ two weeks,a two weeks,It was going to be a two weeks .
284,a quick 20 to 60 bucks,a 20 to 60 bucks,I would make a 20 to 60 bucks off those .
285,a big five plus million dollars,a five plus million dollars,"But now it was a deadly serious occupation at two levels , one as a lead on ground organiser of a huge event , one with a five plus million dollars attached to it , and a second as a serious competitor , one of a hand - picked few ."
